cell_id,sample,batch,total_counts,percent_mito
cell_1,A,1,2450,5.2
cell_2,A,1,2320,4.8
cell_3,A,1,2580,5.5
cell_4,A,1,2340,4.7
cell_5,A,1,2490,5.1
cell_6,A,2,2380,5.3
cell_7,A,2,2510,4.9
cell_8,A,2,2430,5.0
cell_9,A,2,2470,5.2
cell_10,A,2,2390,4.8
cell_11,B,1,2520,6.1
cell_12,B,1,2410,5.9
cell_13,B,1,2550,6.3
cell_14,B,1,2480,6.0
cell_15,B,1,2540,6.2
cell_16,B,2,2460,6.4
cell_17,B,2,2500,6.1
cell_18,B,2,2570,6.5
cell_19,B,2,2530,6.2
cell_20,B,2,2490,6.0
cell_21,C,1,2360,5.7
cell_22,C,1,2280,5.5
cell_23,C,1,2420,5.8
cell_24,C,1,2350,5.6
cell_25,C,1,2310,5.4
cell_26,C,2,2270,5.9
cell_27,C,2,2330,5.7
cell_28,C,2,2400,5.8
cell_29,C,2,2370,5.6
cell_30,C,2,2290,5.5
